Offset,Chord,NormalForm,PCsInNormalForm,File,Composer,measureNumber,beatNumber
0,<music21.chord.Chord G2 B-4>,"[0, 3]","[7, 10]",Allard_5diversions.xml,Allard,1,1.000
0.5,<music21.chord.Chord G2 D3 B-4>,"[0, 3, 7]","[7, 10, 2]",Allard_5diversions.xml,Allard,1,1.250
1,<music21.chord.Chord G2 G3 D4 B-4>,"[0, 3, 7]","[7, 10, 2]",Allard_5diversions.xml,Allard,1,1.500
1.5,<music21.chord.Chord G2 G3 G4 B-4>,"[0, 3]","[7, 10]",Allard_5diversions.xml,Allard,1,1.750
2,<music21.chord.Chord G2 D3 G4 B-4>,"[0, 3, 7]","[7, 10, 2]",Allard_5diversions.xml,Allard,1,2.000
2.5,<music21.chord.Chord G2 G3 D4 B-4>,"[0, 3, 7]","[7, 10, 2]",Allard_5diversions.xml,Allard,1,2.250
3,<music21.chord.Chord G2 D3 G4 B-4>,"[0, 3, 7]","[7, 10, 2]",Allard_5diversions.xml,Allard,1,2.500
3.5,<music21.chord.Chord G2 D4 B-4>,"[0, 3, 7]","[7, 10, 2]",Allard_5diversions.xml,Allard,1,2.750
4,<music21.chord.Chord E2 B4>,"[0, 5]","[11, 4]",Allard_5diversions.xml,Allard,2,1.000
4.5,<music21.chord.Chord E2 B2 B4>,"[0, 5]","[11, 4]",Allard_5diversions.xml,Allard,2,1.250
5,<music21.chord.Chord E2 E3 E4 B4>,"[0, 5]","[11, 4]",Allard_5diversions.xml,Allard,2,1.500
5.5,<music21.chord.Chord E2 E3 G4 B4>,"[0, 3, 7]","[4, 7, 11]",Allard_5diversions.xml,Allard,2,1.750
6,<music21.chord.Chord E2 B2 G4 B4>,"[0, 3, 7]","[4, 7, 11]",Allard_5diversions.xml,Allard,2,2.000
6.5,<music21.chord.Chord E2 E3 E4 B4>,"[0, 5]","[11, 4]",Allard_5diversions.xml,Allard,2,2.250
7,<music21.chord.Chord E2 B2 G4 B4>,"[0, 3, 7]","[4, 7, 11]",Allard_5diversions.xml,Allard,2,2.500
7.5,<music21.chord.Chord E2 E4 B4>,"[0, 5]","[11, 4]",Allard_5diversions.xml,Allard,2,2.750
8,<music21.chord.Chord A2 C5>,"[0, 3]","[9, 0]",Allard_5diversions.xml,Allard,3,1.000
8.5,<music21.chord.Chord A2 E3 C5>,"[0, 3, 7]","[9, 0, 4]",Allard_5diversions.xml,Allard,3,1.250
9,<music21.chord.Chord A2 A3 E4 C5>,"[0, 3, 7]","[9, 0, 4]",Allard_5diversions.xml,Allard,3,1.500
9.5,<music21.chord.Chord A2 A3 A4 C5>,"[0, 3]","[9, 0]",Allard_5diversions.xml,Allard,3,1.750
10,<music21.chord.Chord A2 E3 A4 C5>,"[0, 3, 7]","[9, 0, 4]",Allard_5diversions.xml,Allard,3,2.000
10.5,<music21.chord.Chord A2 A3 E4 C5>,"[0, 3, 7]","[9, 0, 4]",Allard_5diversions.xml,Allard,3,2.250
